,ID,filename,Canonical SMILES,PubChem ID
0,Mol_009,Mol_009.xyz,FS(=O)(=O)c1c([H])c(C(=O)N([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])nn1[H],167815771
1,Mol_010,Mol_010.xyz,FS(=O)(=O)c1c([H])c(C(=O)N([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nn1[H],167984499
2,Mol_011,Mol_011.xyz,FS(=O)(=O)c1c([H])c(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2(C([H])([H])[H])C([H])([H])[H])nn1[H],167815953
3,Mol_012,Mol_012.xyz,FS(=O)(=O)c1c([H])c(C(=O)N([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C2([H])[H])nn1[H],167813077
4,Mol_013,Mol_013.xyz,FS(=O)(=O)c1c([H])c(C(=O)N2C([H])([H])C([H])([H])N(c3nc([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nn1[H],167930215
5,Mol_014,Mol_014.xyz,FS(=O)(=O)c1c([H])c(C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])nn1[H],167746392
6,Mol_015,Mol_015.xyz,CC1C2=C(CCN1/C=C/S(=O)(=O)F)SC=C2,167957953
7,Mol_016,Mol_016.xyz,C1CN(CCN1/C=C/S(=O)(=O)F)C2=CC=CC=C2O,167786397
8,Mol_017,Mol_017.xyz,FS(=O)(=O)C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c2c1OC([H])([H])O2,167851943
9,Mol_018,Mol_018.xyz,C1CC[C@H]([C@H](C1)C#N)S(=O)(=O)F,167716307
10,Mol_019,Mol_019.xyz,FS(=O)(=O)c1c([H])c(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])nn1[H],167871200
11,Mol_020,Mol_020.xyz,FS(=O)(=O)c1c([H])c(C(=O)N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])nn1[H],167752130
12,Mol_021,Mol_021.xyz,FS(=O)(=O)c1c([H])c(C(=O)N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])nn1[H],167844163
13,Mol_022,Mol_022.xyz,FS(=O)(=O)c1c([H])nc(N2C([H])([H])C([H])([H])N([H])C(=O)C2([H])C([H])(C([H])([H])[H])C([H])([H])[H])nc1[H],167946071
14,Mol_023,Mol_023.xyz,FS(=O)(=O)c1c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])[H])n([H])c1[H],165922525
15,Mol_024,Mol_024.xyz,FS(=O)(=O)c1c([H])c(C(=O)N([H])C([H])(c2noc([H])n2)C([H])(C([H])([H])[H])C([H])([H])[H])n([H])c1[H],132396214
16,Mol_025,Mol_025.xyz,FS(=O)(=O)c1c([H])nn(C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])c1[H],165899288
17,Mol_026,Mol_026.xyz,FS(=O)(=O)c1c([H])c([H])c(-n2nc([H])c([H])n2)c([H])c1[H],165905887
18,Mol_027,Mol_027.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c2c(C([H])([H])[H])nc([H])c([H])c12,165905740
19,Mol_028,Mol_028.xyz,FS(=O)(=O)c1c([H])nc([H])c([H])c1Cl,139593201
20,Mol_029,Mol_029.xyz,[H]Cl.[H]c1c([H])c(S(=O)(=O)F)c([H])c([H])c1C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],167730040
21,Mol_030,Mol_030.xyz,FS(=O)(=O)c1nc(C(=O)OC([H])([H])[H])c([H])o1,167728397
22,Mol_031,Mol_031.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[N+](=O)[O-])C([H])([H])C1([H])[H],167929029
23,Mol_032,Mol_032.xyz,FS(=O)(=O)c1oc2c([H])c([H])c(Br)c([H])c2c1[H],155820979
24,Mol_033,Mol_033.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)[C@@]([H])(O[H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],167789966
25,Mol_034,Mol_034.xyz,FS(=O)(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],167899076
26,Mol_035,Mol_035.xyz,FS(=O)(=O)c1nc([H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1Br,167852407
27,Mol_036,Mol_036.xyz,FS(=O)(=O)c1nc([H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H],167863752
28,Mol_037,Mol_037.xyz,FS(=O)(=O)c1nc([H])c(N([H])C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1Br,167884923
29,Mol_038,Mol_038.xyz,FS(=O)(=O)c1nc([H])c([H])c(N([H])C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],167968340
30,Mol_039,Mol_039.xyz,FS(=O)(=O)c1nc([H])c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1Br,167849855
31,Mol_040,Mol_040.xyz,FS(=O)(=O)c1nc([H])c([H])c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],167924863
32,Mol_041,Mol_041.xyz,FS(=O)(=O)c1nc([H])c(N2C([H])([H])C([H])([H])[C@]([H])(O[H])C2([H])[H])c([H])c1Br,167756242
33,Mol_042,Mol_042.xyz,FS(=O)(=O)C([H])([H])C([H])([H])C1([H])OC([H])([H])C1([H])[H],167731355
34,Mol_043,Mol_043.xyz,C#CC1=CC(=CC=C1)S(=O)(=O)F,145421196
35,Mol_044,Mol_044.xyz,FS(=O)(=O)C([H])([H])C([H])([H])N1c2c([H])c([H])c([H])c([H])c2C([H])([H])C([H])([H])C1([H])[H],155926239
36,Mol_045,Mol_045.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)C([H])([H])Oc2c([H])c([H])c(Cl)c([H])c2C([H])([H])[H])C1([H])[H],167892924
37,Mol_046,Mol_046.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)C([H])([H])c2c([H])c(OC([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])C1([H])[H],167927233
38,Mol_047,Mol_047.xyz,FS(=O)(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c3c2C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H],167949965
39,Mol_048,Mol_048.xyz,FS(=O)(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c3c2OC([H])([H])C([H])([H])O3)C([H])([H])C1([H])[H],167762911
40,Mol_049,Mol_049.xyz,FS(=O)(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])Oc3c([H])c([H])c([H])c([H])c3C2([H])[H])C([H])([H])C1([H])[H],167884170
41,Mol_050,Mol_050.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])C([H])([H])C1([H])[H],167764131
42,Mol_051,Mol_051.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2[H])C([H])([H])C1([H])[H],167944933
43,Mol_052,Mol_052.xyz,FS(=O)(=O)c1c([H])c(C(=O)O[H])c([H])c2c1OC([H])([H])C2([H])[H],167734323
